log,backbone,total_params,trainable_params,trainable_percent,trainable_percent_fmt,total_params_fmt,"# params
(%trainable)"
BPI20TravelPermitData,llama32-1b,1236074551.0,121962551.0,9.866925170600005,9.9%,1.2e+09,1.2e+09 (9.9%)
BPI20TravelPermitData,llama32-1b,1236074551.0,61145143.0,4.946719674030406,4.9%,1.2e+09,1.2e+09 (4.9%)
BPI12,llama32-1b,1416323101.0,180508701.0,12.744881508502628,12.7%,1.4e+09,1.4e+09 (12.7%)
BPI12,llama32-1b,1235968029.0,121856029.0,9.859157044587276,9.9%,1.2e+09,1.2e+09 (9.9%)
BPI12,llama32-1b,1235968029.0,61038621.0,4.9385274997270985,4.9%,1.2e+09,1.2e+09 (4.9%)
BPI12,llama32-1b,1235968029.0,221213.0,0.017897954866921563,0.0%,1.2e+09,1.2e+09 (0.0%)
BPI17,llama32-1b,1416327198.0,180512798.0,12.745133910787187,12.7%,1.4e+09,1.4e+09 (12.7%)
BPI17,llama32-1b,1235972126.0,121860126.0,9.859455843424094,9.9%,1.2e+09,1.2e+09 (9.9%)
BPI17,llama32-1b,1235972126.0,61042718.0,4.9388426094651265,4.9%,1.2e+09,1.2e+09 (4.9%)
BPI17,llama32-1b,1235972126.0,225310.0,0.018229375506159273,0.0%,1.2e+09,1.2e+09 (0.0%)
BPI20RequestForPayment,llama32-1b,1416290325.0,180475925.0,12.742862237655968,12.7%,1.4e+09,1.4e+09 (12.7%)
BPI20RequestForPayment,llama32-1b,1235935253.0,121823253.0,9.856766582577608,9.9%,1.2e+09,1.2e+09 (9.9%)
BPI20RequestForPayment,llama32-1b,1235935253.0,61005845.0,4.936006546614784,4.9%,1.2e+09,1.2e+09 (4.9%)
BPI20RequestForPayment,llama32-1b,1235935253.0,188437.0,0.015246510651962121,0.0%,1.2e+09,1.2e+09 (0.0%)
BPI20TravelPermitData,llama32-1b,1236074551.0,327735.0,0.02651417746080592,0.0%,1.2e+09,1.2e+09 (0.0%)
BPI12,gemma-2-2b,2946782237.0,332440349.0,11.281469829221045,11.3%,2.9e+09,2.9e+09 (11.3%)
BPI12,gemma-2-2b,2614514717.0,156128285.0,5.971597099256259,6.0%,2.6e+09,2.6e+09 (6.0%)
BPI12,gemma-2-2b,2614514717.0,78271517.0,2.9937302127643752,3.0%,2.6e+09,2.6e+09 (3.0%)
BPI12,gemma-2-2b,2614514717.0,414749.0,0.01586332627249082,0.0%,2.6e+09,2.6e+09 (0.0%)
BPI20TravelPermitData,gemma-2-2b,2946902071.0,332560183.0,11.285077514881559,11.3%,2.9e+09,2.9e+09 (11.3%)
BPI20TravelPermitData,gemma-2-2b,2614634551.0,156248119.0,5.975906611508707,6.0%,2.6e+09,2.6e+09 (6.0%)
BPI20TravelPermitData,gemma-2-2b,2614634551.0,78391351.0,2.998176206690845,3.0%,2.6e+09,2.6e+09 (3.0%)
BPI20TravelPermitData,gemma-2-2b,2614634551.0,534583.0,0.020445801872982287,0.0%,2.6e+09,2.6e+09 (0.0%)
BPI20PrepaidTravelCosts,gemma-2-2b,2946805282.0,332463394.0,11.28216363771266,11.3%,2.9e+09,2.9e+09 (11.3%)
BPI20PrepaidTravelCosts,gemma-2-2b,2614537762.0,156151330.0,5.9724258822925345,6.0%,2.6e+09,2.6e+09 (6.0%)
BPI20PrepaidTravelCosts,gemma-2-2b,2614537762.0,78294562.0,2.9945852432480566,3.0%,2.6e+09,2.6e+09 (3.0%)
BPI20PrepaidTravelCosts,gemma-2-2b,2614537762.0,437794.0,0.01674460420357853,0.0%,2.6e+09,2.6e+09 (0.0%)
BPI20RequestForPayment,gemma-2-2b,2946745365.0,332403477.0,11.280359713062618,11.3%,2.9e+09,2.9e+09 (11.3%)
BPI20RequestForPayment,gemma-2-2b,2614477845.0,156091413.0,5.970271016008552,6.0%,2.6e+09,2.6e+09 (6.0%)
BPI20RequestForPayment,gemma-2-2b,2614477845.0,78234645.0,2.9923621326383816,3.0%,2.6e+09,2.6e+09 (3.0%)
BPI20RequestForPayment,gemma-2-2b,2614477845.0,377877.0,0.014453249268210953,0.0%,2.6e+09,2.6e+09 (0.0%)
BPI17,gemma-2-2b,2946786846.0,332444958.0,11.281608591787503,11.3%,2.9e+09,2.9e+09 (11.3%)
BPI17,gemma-2-2b,2614519326.0,156132894.0,5.971762857032329,6.0%,2.6e+09,2.6e+09 (6.0%)
BPI17,gemma-2-2b,2614519326.0,78276126.0,2.993901220066942,3.0%,2.6e+09,2.6e+09 (3.0%)
BPI17,gemma-2-2b,2614519326.0,419358.0,0.01603958310155555,0.0%,2.6e+09,2.6e+09 (0.0%)
